prompt: Why do spikes matter in language models?
bytes: 40
timestep,byte,display,is_punctuation
0,87,W,0
1,104,h,0
2,121,y,0
3,32, ,0
4,100,d,0
5,111,o,0
6,32, ,0
7,115,s,0
8,112,p,0
9,105,i,0
10,107,k,0
11,101,e,0
12,115,s,0
13,32, ,0
14,109,m,0
15,97,a,0
16,116,t,0
17,116,t,0
18,101,e,0
19,114,r,0
20,32, ,0
21,105,i,0
22,110,n,0
23,32, ,0
24,108,l,0
25,97,a,0
26,110,n,0
27,103,g,0
28,117,u,0
29,97,a,0
30,103,g,0
31,101,e,0
32,32, ,0
33,109,m,0
34,111,o,0
35,100,d,0
36,101,e,0
37,108,l,0
38,115,s,0
39,63,?,1
