prompt,layer,module,timesteps,neurons,spike_rate,punctuation_spike_rate,non_punctuation_spike_rate,punctuation_count
"Hello, world!",0,rffn,13,512,0.14287860691547394,0.1142578125,0.14808239042758942,2
"Hello, world!",0,rwkv,13,512,0.16736778616905212,0.099609375,0.1796875,2
"Hello, world!",1,rffn,13,512,0.11117788404226303,0.0703125,0.11860795319080353,2
"Hello, world!",1,rwkv,13,512,0.11748798191547394,0.1162109375,0.11772017180919647,2
"Hello, world!",2,rffn,13,512,0.09855769574642181,0.0556640625,0.10635653138160706,2
"Hello, world!",2,rwkv,13,512,0.087890625,0.064453125,0.09215199202299118,2
"Hello, world!",3,rffn,13,512,0.09480167925357819,0.05078125,0.10280539840459824,2
"Hello, world!",3,rwkv,13,512,0.014573317021131516,0.0185546875,0.013849431648850441,2
"Hello, world!",4,rffn,13,512,0.09375,0.0771484375,0.09676846861839294,2
"Hello, world!",4,rwkv,13,512,0.0,0.0,0.0,2
"Hello, world!",5,rffn,13,512,0.06685697287321091,0.0283203125,0.07386363297700882,2
"Hello, world!",5,rwkv,13,512,0.0,0.0,0.0,2
"Hello, world!",6,rffn,13,512,0.15805289149284363,0.0595703125,0.1759588122367859,2
"Hello, world!",6,rwkv,13,512,0.001953125,0.001953125,0.001953125,2
"Hello, world!",7,rffn,13,512,0.15399639308452606,0.12890625,0.15855823457241058,2
"Hello, world!",7,rwkv,13,512,0.007962740026414394,0.005859375,0.008345170877873898,2
"Hello, world!",8,rffn,13,512,0.19200721383094788,0.1650390625,0.19691051542758942,2
"Hello, world!",8,rwkv,13,512,0.02719350904226303,0.0224609375,0.028053976595401764,2
"Hello, world!",9,rffn,13,512,0.24834735691547394,0.2431640625,0.24928976595401764,2
"Hello, world!",9,rwkv,13,512,0.13115985691547394,0.0810546875,0.14026989042758942,2
"Hello, world!",10,rffn,13,512,0.30438703298568726,0.3115234375,0.3030894994735718,2
"Hello, world!",10,rwkv,13,512,0.14347957074642181,0.0986328125,0.15163351595401764,2
"Hello, world!",11,rffn,13,512,0.3721454441547394,0.3310546875,0.37961646914482117,2
"Hello, world!",11,rwkv,13,512,0.24834735691547394,0.2236328125,0.25284090638160706,2
Hello world,0,rffn,11,512,0.14364346861839294,nan,0.14364346861839294,0
Hello world,0,rwkv,11,512,0.17879971861839294,nan,0.17879971861839294,0
Hello world,1,rffn,11,512,0.11612215638160706,nan,0.11612215638160706,0
Hello world,1,rwkv,11,512,0.10973011702299118,nan,0.10973011702299118,0
Hello world,2,rffn,11,512,0.09676846861839294,nan,0.09676846861839294,0
Hello world,2,rwkv,11,512,0.09446022659540176,nan,0.09446022659540176,0
Hello world,3,rffn,11,512,0.09730113297700882,nan,0.09730113297700882,0
Hello world,3,rwkv,11,512,0.024147726595401764,nan,0.024147726595401764,0
Hello world,4,rffn,11,512,0.08806817978620529,nan,0.08806817978620529,0
Hello world,4,rwkv,11,512,0.0,nan,0.0,0
Hello world,5,rffn,11,512,0.07599432021379471,nan,0.07599432021379471,0
Hello world,5,rwkv,11,512,0.0,nan,0.0,0
Hello world,6,rffn,11,512,0.17826704680919647,nan,0.17826704680919647,0
Hello world,6,rwkv,11,512,0.001953125,nan,0.001953125,0
Hello world,7,rffn,11,512,0.16672585904598236,nan,0.16672585904598236,0
Hello world,7,rwkv,11,512,0.010120738297700882,nan,0.010120738297700882,0
Hello world,8,rffn,11,512,0.19176135957241058,nan,0.19176135957241058,0
Hello world,8,rwkv,11,512,0.032137785106897354,nan,0.032137785106897354,0
Hello world,9,rffn,11,512,0.25,nan,0.25,0
Hello world,9,rwkv,11,512,0.13387784361839294,nan,0.13387784361839294,0
Hello world,10,rffn,11,512,0.30788353085517883,nan,0.30788353085517883,0
Hello world,10,rwkv,11,512,0.17507101595401764,nan,0.17507101595401764,0
Hello world,11,rffn,11,512,0.38192471861839294,nan,0.38192471861839294,0
Hello world,11,rwkv,11,512,0.2618963122367859,nan,0.2618963122367859,0
Why do spikes matter in language models?,0,rffn,40,512,0.12412109225988388,0.134765625,0.12384815514087677,1
Why do spikes matter in language models?,0,rwkv,40,512,0.18710938096046448,0.083984375,0.18975360691547394,1
Why do spikes matter in language models?,1,rffn,40,512,0.10102538764476776,0.037109375,0.10266426205635071,1
Why do spikes matter in language models?,1,rwkv,40,512,0.12788085639476776,0.05859375,0.12965744733810425,1
Why do spikes matter in language models?,2,rffn,40,512,0.08559570461511612,0.03515625,0.08688902109861374,1
Why do spikes matter in language models?,2,rwkv,40,512,0.087646484375,0.111328125,0.08703926205635071,1
Why do spikes matter in language models?,3,rffn,40,512,0.093505859375,0.046875,0.09470152109861374,1
Why do spikes matter in language models?,3,rwkv,40,512,0.02099609375,0.00390625,0.021434294059872627,1
Why do spikes matter in language models?,4,rffn,40,512,0.09160156548023224,0.056640625,0.09249799698591232,1
Why do spikes matter in language models?,4,rwkv,40,512,0.0,0.0,0.0,1
Why do spikes matter in language models?,5,rffn,40,512,0.07968749850988388,0.052734375,0.08037860691547394,1
Why do spikes matter in language models?,5,rwkv,40,512,0.0,0.0,0.0,1
Why do spikes matter in language models?,6,rffn,40,512,0.14091797173023224,0.07421875,0.14262820780277252,1
Why do spikes matter in language models?,6,rwkv,40,512,0.001953125,0.001953125,0.001953125,1
Why do spikes matter in language models?,7,rffn,40,512,0.15766601264476776,0.08203125,0.15960536897182465,1
